subset,numero,giocatore,squadra
Hot Rookies,18,Ebosele Festy,Udinese Calcio
Base,151,Buongiorno Alessandro,Torino FC
Base,191,Alvarez Agustin,US Sassuolo Calcio
Base,144,Kim Min-jae,SSC Napoli
Score Signatures,18,Evra Patrice,Juventus
Base,53,Radu Ionut,US Cremonese
Score Signatures,12,Vidic Nemanja,FC Internazionale Milano
Captain,2,Biraghi Cristiano,ACF Fiorentina
Base,39,Malinovskyi Ruslan,Atalanta BC
Base,8,Leao Rafael,AC Milan
Next Up,15,Cancellieri Matteo,SS Lazio
Base,129,Nzola Mbala,Spezia Calcio
Game Face,10,Barella Nicolo,FC Internazionale Milano
Base,100,McKennie Weston,Juventus
Hot Rookies,7,Cacace Liberato,Empoli FC
Score Team,9,Zapata Duvan,Atalanta BC
Base,112,Carboni Andrea,AC Monza
Base,175,Deulofeu Gerard,Udinese Calcio
Breakthrough,2,Hernandez Theo,AC Milan
Game Face,1,Maignan Mike,AC Milan
Base,146,Lozano Hirving,SSC Napoli
Base,37,Demiral Merih,Atalanta BC
Base,197,Marco Ferrari Gian,US Sassuolo Calcio
Base,154,Vojvoda Mergim,Torino FC
Breakthrough,11,Satriano Martin,Empoli FC
Base,98,Locatelli Manuel,Juventus
Next Up,17,Kvaratskhelia Khvicha,SSC Napoli
Base,44,Kasius Denso,Bologna FC
Base,168,Leris Mehdi,UC Sampdoria
Hot Rookies,10,Miretti Fabio,Juventus
Base,70,Marin Razvan,Empoli FC
Base,134,Alberto Luis,SS Lazio
Breakthrough,9,Scalvini Giorgio,Atalanta BC
Score Signatures,26,Dybala Paulo,AS Roma
Score Team,15,Barella Nicolo,FC Internazionale Milano
Base,34,Maehle Joakim,Atalanta BC
Game Face,12,Vlahovic Dusan,Juventus
Breakthrough,26,Ebosse Enzo,Udinese Calcio
Score Signatures,25,Kumbulla Marash,AS Roma
Base,64,Henderson Liam,Empoli FC
Base,115,Mota Dany,AC Monza
Score Team,16,Lukaku Romelu,FC Internazionale Milano
All Hands Team,2,Patricio Rui,AS Roma
Base,132,Immobile Ciro,SS Lazio
Base,164,Quagliarella Fabio,UC Sampdoria
Next Up,20,Raspadori Giacomo,SSC Napoli
Base,120,Sensi Stefano,AC Monza
Captain,4,Soriano Roberto,Bologna FC
Game Face,20,Raspadori Giacomo,SSC Napoli
Base,88,Gunter Koray,Hellas Verona FC
Base,182,Bohinen Emil,US Salernitana
Base,128,Caldara Mattia,Spezia Calcio
Breakthrough,12,Pinamonti Andrea,US Sassuolo Calcio
Score Signatures,21,De Ketelaere Charles,AC Milan
